service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATS 21_22-NG_SH-Weekday-01,1,1,1,1,1,0,0,20210819,20210819
ATS 21_22-NG_SH-Weekend-01,0,0,0,0,0,1,1,20210821,20211003
ATS 21_22-NG_SH-Weekend-01-0000010,0,0,0,0,0,1,0,20210821,20211003
ATS 21_22-INNER-Weekday-01,1,1,1,1,1,0,0,20210823,20210914
ATS 21_22-FG_NG-Weekday-01,1,1,1,1,1,0,0,20210825,20210915
ATS 21_22-BH_NG-Weekday-01,1,1,1,1,1,0,0,20210826,20210826
ATS 21_22-NORTH-Saturday-01,0,0,0,0,0,1,0,20210828,20210828
ATS 21_22-NORTH-Sunday-01,0,0,0,0,0,0,1,20210829,20210829
ATS 21_22-YEE_PKR-Weekday-01,1,1,1,1,1,0,0,20210830,20210903
ATS 21_22-YEE_PKR-Weekday-01-0000100,0,0,0,0,1,0,0,20210830,20210903
ATS 21_22-OUTER-Weekend-02,0,0,0,0,0,1,1,20210904,20210905
ATS 21_22-OUTER-Weekend-02-0000010,0,0,0,0,0,1,0,20210904,20210905
ATS 21_22-PKR_KUR-Weekday-01,1,1,1,1,1,0,0,20210906,20210906
BBL 21_22-BBL_WD-Weekday-01,1,1,1,1,1,0,0,20210819,20211018
BCC 21_22-BCC_FUL-M-Tu-W-Th-01,1,1,1,1,0,0,0,20210819,20211018
BCC 21_22-BCC_FUL-M-Tu-W-Th-01-0110000,0,1,1,0,0,0,0,20210819,20211018
BCC 21_22-BCC_FUL-Friday-01,0,0,0,0,1,0,0,20210820,20211015
BCC 21_22-BCC_SAT-Saturday-01,0,0,0,0,0,1,0,20210821,20211016
BCC 21_22-BCC_SUN-Sunday-01,0,0,0,0,0,0,1,20210822,20211017
BITS 21_22-Covid_WD-Weekday-00,1,1,1,1,1,0,0,20210819,20211018
BITS 21_22-Covid_WD-Weekday-00-0000100,0,0,0,0,1,0,0,20210819,20211018
BITS 21_22-Covi_SAT-Saturday-00,0,0,0,0,0,1,0,20210821,20211016
BITS 21_22-Covi_SUN-Sunday-00,0,0,0,0,0,0,1,20210822,20211017
BITS 21_22-Covi_HSC-Weekday-00,1,1,1,1,1,0,0,20210903,20211001
BITS 21_22-Covi_HSC-Weekday-00-0000100,0,0,0,0,1,0,0,20210903,20211001
CDC 21_22-CDC-Weekday-02,1,1,1,1,1,0,0,20210819,20211018
BT 21_22-AUG_FUL-Weekday-01,1,1,1,1,1,0,0,20210819,20211018
BT 21_22-AUG_FUL-Weekday-01-0000100,0,0,0,0,1,0,0,20210819,20211018
BT 21_22-AUG_FUL-Weekday-01-1000000,1,0,0,0,0,0,0,20210819,20211018
BT 21_22-AUG_FUL-Weekday-01-0111100,0,1,1,1,1,0,0,20210819,20211018
BT 21_22-AUG_FUL-Saturday-01,0,0,0,0,0,1,0,20210821,20211016
BT 21_22-AUG_FUL-Sunday-01,0,0,0,0,0,0,1,20210822,20211017
BT 21_22-109-Weekday-00,1,1,1,1,1,0,0,20210830,20210903
BT 21_22-109-Weekday-00-0000100,0,0,0,0,1,0,0,20210830,20210903
BT 21_22-109-Weekday-00-1000000,1,0,0,0,0,0,0,20210830,20210903
BT 21_22-109-Weekday-00-0111100,0,1,1,1,1,0,0,20210830,20210903
BT 21_22-AUG_HSC-Weekday-01,1,1,1,1,1,0,0,20210920,20210924
BT 21_22-AUG_HSC-Weekday-01-0000100,0,0,0,0,1,0,0,20210920,20210924
BT 21_22-AUG_UNSO-Weekday-01,1,1,1,1,1,0,0,20210927,20211001
BT 21_22-AUG_UNSO-Weekday-01-0000100,0,0,0,0,1,0,0,20210927,20211001
BT 21_22-AUG_PH-Sunday-01,0,0,0,0,0,0,1,20211004,20211004
CBL 21_22-TEMP_FUL-Weekday-04,1,1,1,1,1,0,0,20210819,20211018
CBL 21_22-TEMP_FUL-Weekday-04-0001000,0,0,0,1,0,0,0,20210819,20211018
CBL 21_22-TEMP_SAT-Saturday-04,0,0,0,0,0,1,0,20210821,20211016
CBL 21_22-TEMP_SUN-Sunday-04,0,0,0,0,0,0,1,20210822,20211017
CBL 21_22-TEMP_HSC-Weekday-04,1,1,1,1,1,0,0,20210903,20211001
CBL 21_22-TEMP_HSC-Weekday-04-0001000,0,0,0,1,0,0,0,20210903,20211001
GCLR 21_22-PLTF M-T-M-Tu-W-Th-03,1,1,1,1,0,0,0,20210819,20211018
GCLR 21_22-PLTF Fri-Friday-03,0,0,0,0,1,0,0,20210820,20211015
GCLR 21_22-PLTF Sat-Saturday-04,0,0,0,0,0,1,0,20210821,20211016
GCLR 21_22-PLTF Sun-Sunday-02,0,0,0,0,0,0,1,20210822,20211017
GCLR 21_22-GCShwFri-Friday-04,0,0,0,0,1,0,0,20210827,20210827
GCLR 21_22-GCShwSat-Saturday-05,0,0,0,0,0,1,0,20210828,20210828
GCLR 21_22-GCShwSun-Sunday-03,0,0,0,0,0,0,1,20210829,20210829
HBL 21_22-HBL_FUL-Weekday-02,1,1,1,1,1,0,0,20210819,20211018
HBL 21_22-HBL_SAT-Saturday-02,0,0,0,0,0,1,0,20210821,20211016
HBL 21_22-HBL_SUN-Sunday-02,0,0,0,0,0,0,1,20210822,20211017
HBL 21_22-HBL_HOL-Weekday-02,1,1,1,1,1,0,0,20210903,20211001
HBL 21_22-HBL_SuPH-Sunday-02,0,0,0,0,0,0,1,20211004,20211004
KBL 21_22-TMP_FUL-Weekday-03,1,1,1,1,1,0,0,20210819,20210827
KBL 21_22-TMP_SAT-Saturday-03,0,0,0,0,0,1,0,20210821,20210828
KBL 21_22-TMP_SUN-Sunday-03,0,0,0,0,0,0,1,20210822,20210829
KBL 21_22-TMP_FUL-Weekday-04,1,1,1,1,1,0,0,20210830,20211018
KBL 21_22-TMP_HOL-Weekday-04,1,1,1,1,1,0,0,20210903,20211001
