service_id,date,exception_type
ATS 21_22-NG_SH-Weekend-01,20210828,2
ATS 21_22-NG_SH-Weekend-01-0000010,20210828,2
ATS 21_22-NG_SH-Weekend-01,20210829,2
ATS 21_22-NG_SH-Weekend-01-0000010,20210829,2
ATS 21_22-NG_SH-Weekend-01,20210904,2
ATS 21_22-NG_SH-Weekend-01-0000010,20210904,2
ATS 21_22-NG_SH-Weekend-01,20210905,2
ATS 21_22-NG_SH-Weekend-01-0000010,20210905,2
ATS 21_22-NG_SH-Weekend-01,20210925,2
ATS 21_22-NG_SH-Weekend-01-0000010,20210925,2
ATS 21_22-NG_SH-Weekend-01,20210926,2
ATS 21_22-NG_SH-Weekend-01-0000010,20210926,2
ATS 21_22-INNER-Weekday-01,20210825,2
ATS 21_22-INNER-Weekday-01,20210826,2
ATS 21_22-INNER-Weekday-01,20210827,2
ATS 21_22-INNER-Weekday-01,20210830,2
ATS 21_22-INNER-Weekday-01,20210831,2
ATS 21_22-INNER-Weekday-01,20210901,2
ATS 21_22-INNER-Weekday-01,20210902,2
ATS 21_22-INNER-Weekday-01,20210903,2
ATS 21_22-INNER-Weekday-01,20210906,2
ATS 21_22-INNER-Weekday-01,20210907,2
ATS 21_22-INNER-Weekday-01,20210908,2
ATS 21_22-INNER-Weekday-01,20210909,2
ATS 21_22-INNER-Weekday-01,20210910,2
ATS 21_22-FG_NG-Weekday-01,20210826,2
ATS 21_22-FG_NG-Weekday-01,20210827,2
ATS 21_22-FG_NG-Weekday-01,20210830,2
ATS 21_22-FG_NG-Weekday-01,20210831,2
ATS 21_22-FG_NG-Weekday-01,20210901,2
ATS 21_22-FG_NG-Weekday-01,20210902,2
ATS 21_22-FG_NG-Weekday-01,20210903,2
ATS 21_22-FG_NG-Weekday-01,20210906,2
ATS 21_22-FG_NG-Weekday-01,20210907,2
ATS 21_22-FG_NG-Weekday-01,20210908,2
ATS 21_22-FG_NG-Weekday-01,20210909,2
ATS 21_22-FG_NG-Weekday-01,20210910,2
ATS 21_22-FG_NG-Weekday-01,20210913,2
ATS 21_22-FG_NG-Weekday-01,20210914,2
BBL 21_22-BBL_WD-Weekday-01,20211004,2
BCC 21_22-BCC_FUL-M-Tu-W-Th-01,20211004,2
BCC 21_22-BCC_FUL-M-Tu-W-Th-01-0110000,20211004,2
BCC 21_22-BCC_SUN-Sunday-01,20211004,1
BITS 21_22-Covid_WD-Weekday-00,20210903,2
BITS 21_22-Covid_WD-Weekday-00-0000100,20210903,2
BITS 21_22-Covid_WD-Weekday-00,20210920,2
BITS 21_22-Covid_WD-Weekday-00-0000100,20210920,2
BITS 21_22-Covid_WD-Weekday-00,20210921,2
BITS 21_22-Covid_WD-Weekday-00-0000100,20210921,2
BITS 21_22-Covid_WD-Weekday-00,20210922,2
BITS 21_22-Covid_WD-Weekday-00-0000100,20210922,2
BITS 21_22-Covid_WD-Weekday-00,20210923,2
BITS 21_22-Covid_WD-Weekday-00-0000100,20210923,2
BITS 21_22-Covid_WD-Weekday-00,20210924,2
BITS 21_22-Covid_WD-Weekday-00-0000100,20210924,2
BITS 21_22-Covid_WD-Weekday-00,20210927,2
BITS 21_22-Covid_WD-Weekday-00-0000100,20210927,2
BITS 21_22-Covid_WD-Weekday-00,20210928,2
BITS 21_22-Covid_WD-Weekday-00-0000100,20210928,2
BITS 21_22-Covid_WD-Weekday-00,20210929,2
