route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
27-1886,27,"Kangaroo Point - City shuttle",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/27,71BF5B,000000
28-1886,28,"Langlands Park - UQ Lakes shuttle",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/28,71BF5B,000000
29-1886,29,"Woolloongabba - UQ Lakes Shuttle",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/29,71BF5B,000000
30-1886,30,"Spring Hill  Loop",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/30,FFD51F,000000
40-1886,40,"City Loop (Clockwise)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/40,D20000,FFFFFF
50-1886,50,"City Loop (Anti-Clockwise)",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/50,D20000,FFFFFF
60-1886,60,"West End - Teneriffe Ferry via City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/60,6DD0F6,000000
61-1886,61,"Ashgrove Shops - Coorparoo via City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/61,7A0046,FFFFFF
66-1886,66,"UQ Lakes - RBWH via City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/66,71BF5B,000000
77-1886,77,"Eight Mile Plains - Chermside via CLEM7",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/77,71BF5B,000000
100-1886,100,"Forest Lake/Inala - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/100,71BF5B,000000
101-1886,101," Forest Lake - Oxley Station via Inala Durack",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/101,71BF5B,000000
102-1886,102,"Inala - Oxley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/102,71BF5B,000000
103-1886,103,"Centenary - Inala Plaza",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/103,71BF5B,000000
104-1886,104,"Corinda - PA Hospital via Tennyson",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/104,71BF5B,000000
105-1886,105,"Indooroopilly - City via Yeronga",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/105,71BF5B,000000
106-1886,106,"Mt Ommaney - Indooroopilly via Corinda",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/106,71BF5B,000000
107-1886,107,"Yeronga - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/107,71BF5B,000000
108-1886,108,"Indooroopilly - City via Tennyson",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/108,71BF5B,000000
109-1886,109,"Moorooka - Boggo Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/109,71BF5B,000000
110-1886,110,"Inala - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/110,71BF5B,000000
111-1886,111,"Eight Mile Plains - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/111,71BF5B,000000
112-1886,112,"Griffith Uni Mt Gravatt - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/112,71BF5B,000000
113-1886,113,"Mt Gravatt Central - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/113,71BF5B,000000
114-1886,114,"Tarragindi - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/114,71BF5B,000000
115-1886,115,"Calamvale - City via Acacia Ridge Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/115,71BF5B,000000
116-1886,116,"Rocklea - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/116,71BF5B,000000
117-1886,117,"Acacia Ridge - Woollongabba",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/117,71BF5B,000000
118-1886,118,"Forest Lake - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/118,71BF5B,000000
120-1886,120,"Garden City - City via Tarragindi",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/120,71BF5B,000000
121-1886,121,"Salisbury - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/121,71BF5B,000000
122-1886,122,"Inala - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/122,71BF5B,000000
123-1886,123,"Griffith University - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/123,71BF5B,000000
124-1886,124,"Sunnybank - City/Valley",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/124,71BF5B,000000
125-1886,125,"Garden City - City/Valley via Salisbury",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/125,71BF5B,000000
126-1886,126,"Acacia Ridge - Sunnybank Plaza",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/126,71BF5B,000000
130-1886,130,"Parkinson - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/130,71BF5B,000000
131-1886,131,"Parkinson - City via Hellawell Rd",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/131,71BF5B,000000
132-1886,132,"Parkinson/Algester - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/132,71BF5B,000000
134-1886,134,"Griffith University - City Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/134,71BF5B,000000
135-1886,135,"Parkinson - City Express",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/135,71BF5B,000000
136-1886,136,"Parkinson - City Precincts",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/136,71BF5B,000000
138-1886,138,"Algester - City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/138,71BF5B,000000
139-1886,139,"Sunnybank Hills - UQ Lakes",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/139,71BF5B,000000
140-1886,140,"Browns Plains - City Express via Mains Road",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/140,71BF5B,000000
145-1886,145,"Browns Plains - Griffith University",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/145,71BF5B,000000
150-1886,150,"Browns Plains - City Express via Runcorn",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/150,71BF5B,000000
152-1886,152,"Stretton - Garden City",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/152,71BF5B,000000
153-1886,153,"Drewvale - City Rocket",,3,https://jp.translink.com.au/travel-information/network-information/buses/T/153,71BF5B,000000
